shot_id,shot_made_flag
1,0.4212386
8,0.6522864
17,0.6530996
20,0.63013214
33,0.40221038
34,0.4596576
35,0.5865003
36,0.59201735
37,0.6031214
38,0.4344074
45,0.53693956
50,0.386164
55,0.4022394
60,0.2935695
66,0.3663654
67,0.42884633
71,0.4150727
80,0.49390996
85,0.32556197
86,0.41130245
95,0.4449446
104,0.38158923
113,0.35054466
123,0.4134041
126,0.4446996
133,0.5615076
141,0.50194293
144,0.25606036
150,0.55722964
152,0.48211402
153,0.5495268
156,0.5556904
159,0.55350554
165,0.58130145
172,0.41133803
182,0.6033386
192,0.4967882
193,0.56220734
196,0.28592694
202,0.5049954
210,0.3089187
211,0.45784193
228,0.6117406
257,0.4358765
260,0.43958133
264,0.4589346
267,0.3814554
279,0.64218575
282,0.47180718
293,0.34462908
299,0.34342167
300,0.28332186
301,0.28754547
317,0.31038573
327,0.2849775
328,0.3908394
335,0.5622041
346,0.39860433
348,0.3138109
365,0.40326804
390,0.6400727
391,0.62609476
392,0.52015567
397,0.3706483
418,0.44067213
428,0.47192279
434,0.46555382
439,0.66286266
440,0.33639023
456,0.45245612
459,0.55427414
472,0.39408422
480,0.41876218
491,0.154586
497,0.38790876
509,0.29709584
511,0.3216569
523,0.45025975
533,0.42180988
544,0.6014234
546,0.3192728
555,0.62353444
558,0.2869457
560,0.4192992
573,0.39583266
591,0.38580725
596,0.38330808
597,0.42591769
601,0.47454298
605,0.43973625
617,0.4806962
628,0.2918344
634,0.4149882
646,0.48960233
649,0.41858667
651,0.57592225
654,0.5641365
656,0.60233015
657,0.45602453
669,0.45983732
670,0.6396629
693,0.48625058
694,0.45717224
699,0.45489734
711,0.3411972
718,0.43446502
722,0.4401542
723,0.50013626
725,0.4674181
734,0.43879113
735,0.6445466
737,0.49658597
746,0.41755116
747,0.41868848
766,0.25376073
767,0.43262357
771,0.43530273
773,0.4495826
774,0.382303
783,0.40813574
784,0.39675367
789,0.37183586
792,0.2932793
804,0.2643479
809,0.4481461
812,0.29908416
813,0.33820507
817,0.47398734
820,0.43091473
825,0.42139935
826,0.37483314
829,0.33425063
855,0.36088136
859,0.54618156
862,0.35675463
870,0.39981842
876,0.48472118
880,0.44717672
886,0.58355683
889,0.37650812
891,0.57152265
897,0.56198037
902,0.32380843
903,0.52932733
908,0.32800442
909,0.3839427
920,0.18370464
922,0.30532438
924,0.3011973
932,0.3385711
934,0.20500557
937,0.34032708
941,0.47053868
943,0.46291536
950,0.4599464
952,0.39996195
954,0.6128416
963,0.53084874
975,0.556765
979,0.41023168
981,0.44282755
983,0.13442677
985,0.5119186
989,0.52639866
995,0.43577513
998,0.58667403
1008,0.4972672
1019,0.63289976
1023,0.40214592
1026,0.3365763
1029,0.433267
1034,0.43886244
1036,0.43037337
1038,0.41834378
1039,0.3295652
1051,0.60772973
1052,0.3671369
1066,0.42258582
1087,0.5230825
1092,0.27388218
1094,0.31531003
1098,0.35377446
1099,0.32289654
1102,0.31263044
1118,0.33743548
1131,0.41646373
1133,0.63799536
1135,0.6325817
1138,0.62552184
1139,0.6242862
1142,0.3224931
1151,0.5577589
1152,0.4179654
1155,0.5519107
1165,0.44551238
1167,0.5313382
1172,0.5552899
1174,0.5450814
1180,0.63013273
1200,0.3024573
1202,0.26681593
1227,0.3837227
1228,0.5725288
1229,0.42785034
1237,0.6129183
1241,0.54693997
1256,0.46814328
1279,0.3566342
1293,0.6132963
1295,0.4612042
1319,0.56037945
1320,0.29524633
1321,0.3426104
1322,0.35918632
1334,0.12926452
1351,0.6529193
1373,0.40642488
1375,0.3753614
1380,0.3613297
1382,0.40815955
1385,0.54840475
1399,0.3962246
1403,0.6791
1428,0.36117762
1434,0.33140805
1444,0.64782685
1448,0.32375285
1466,0.42198643
1476,0.42952687
1478,0.3953046
1485,0.42625925
1491,0.5978694
1494,0.44333914
1500,0.5570939
1501,0.49803185
1503,0.5288658
1519,0.6588818
1524,0.43904218
1529,0.4738147
1533,0.6718652
1538,0.6595581
1539,0.4765122
1546,0.6381209
1555,0.39070195
1559,0.4178515
1563,0.5116182
1565,0.6595257
1574,0.4482206
1591,0.42268172
1594,0.38531432
1605,0.31053853
1611,0.47409832
1614,0.25081068
1620,0.41859576
1626,0.42636824
1630,0.41952333
1632,0.26547554
1634,0.48327726
1643,0.40978444
1651,0.55887944
1655,0.39322862
1658,0.5541994
1659,0.45611376
1665,0.39409336
1675,0.37345365
1680,0.58255196
1690,0.4623171
1696,0.5466993
1714,0.47163406
1721,0.43039235
1726,0.45123398
1728,0.4864241
1734,0.36716324
1735,0.2699535
1740,0.43404728
1744,0.32796046
1747,0.4418792
1752,0.32701996
1763,0.63074934
1765,0.6334212
1769,0.45399368
1785,0.46467572
1787,0.45795166
1788,0.57696885
1793,0.48808324
1800,0.3064977
1825,0.4623702
1826,0.595115
1834,0.27722037
1843,0.2918368
1844,0.29232988
1848,0.42061344
1849,0.65386266
1860,0.553763
1863,0.5785538
1875,0.44812605
1883,0.48368856
1890,0.365763
1892,0.27877605
1893,0.49376813
1897,0.41178608
1905,0.46633717
1908,0.49279264
1931,0.49401307
1940,0.6007776
1943,0.30538508
1947,0.1722822
1965,0.4838552
1967,0.4946202
1968,0.47750062
1972,0.6399429
1982,0.3966834
1985,0.4682383
2005,0.4492256
2010,0.41240948
2021,0.40852565
2024,0.41534492
2036,0.5173933
2043,0.46113378
2047,0.44920135
2049,0.46829307
2055,0.25793174
2065,0.6011481
2066,0.5374018
2070,0.5172672
2077,0.65748316
2085,0.45669395
2095,0.39173448
2097,0.61123425
2108,0.637309
2112,0.4628175
2113,0.51236576
2122,0.30824247
2139,0.42030156
2144,0.42103374
